file,hyp_path,ref_path,char_acc,char_err_rate,speaker_acc,notes
/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/LD01-Dialogue-01.wav,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/runs/whisperx/2025-10-22_17-33-56_raw_large_v2_cuda/LD01-Dialogue-01/whisperx/segments.jsonl,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/LD01-Dialogue-01.txt,,,1.0,
/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/LD10-Dialogue-06.wav,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/runs/whisperx/2025-10-22_17-33-56_raw_large_v2_cuda/LD10-Dialogue-06/whisperx/segments.jsonl,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/LD10-Dialogue-06.txt,,,1.0,
/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/SD03-Dialogue-08.wav,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/runs/whisperx/2025-10-22_17-33-56_raw_large_v2_cuda/SD03-Dialogue-08/whisperx/segments.jsonl,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/SD03-Dialogue-08.txt,,,1.0,
/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/SD07-Dialogue-01.wav,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/runs/whisperx/2025-10-22_17-33-56_raw_large_v2_cuda/SD07-Dialogue-01/whisperx/segments.jsonl,/mnt/d/coconara/CorpusVisualize/research/speaker_diarization/data/SD07-Dialogue-01.txt,,,1.0,
